ID,Class
sample_143,B
sample_144,B
sample_145,B
sample_146,B
sample_147,B
sample_148,B
sample_149,B
sample_150,B
sample_151,B
sample_152,B
sample_153,B
sample_154,B
sample_155,B
sample_156,B
sample_157,B
sample_158,B
sample_159,B
sample_160,B
sample_161,B
sample_162,B
sample_163,B
sample_164,B
sample_165,B
sample_166,B
sample_167,B
sample_168,B
sample_169,B
sample_170,B
sample_171,B
sample_172,B
sample_173,B
sample_174,B
sample_175,B
sample_176,B
sample_177,B
sample_178,B
sample_179,B
sample_180,B
sample_181,B
sample_182,B
sample_183,B
sample_184,B
sample_185,B
sample_186,B
sample_187,B
sample_188,B
sample_189,B
sample_190,B
sample_191,B
sample_192,B
sample_193,B
sample_194,B
sample_195,B
sample_196,B
sample_197,B
sample_198,B
sample_199,B
sample_200,C
sample_201,C
sample_202,C
sample_203,C
sample_204,C
sample_205,C
sample_206,C
sample_207,C
sample_208,C
sample_209,C
sample_210,C
sample_211,C
sample_212,C
sample_213,C
sample_214,C
sample_215,C
sample_216,C
sample_217,C
sample_218,C
sample_219,C
sample_220,C
sample_221,C
sample_222,C
sample_223,C
sample_224,C
sample_225,C
sample_226,C
sample_227,C
sample_228,C
sample_229,C
sample_230,C
sample_231,C
sample_232,C
sample_233,C
sample_234,C
sample_235,C
sample_236,C
sample_237,C
sample_238,C
sample_239,C
sample_240,C
sample_241,C
sample_242,C
sample_243,C
sample_244,C
sample_245,C
sample_246,C
sample_247,C
sample_248,C
sample_249,C
sample_250,C
sample_251,C
sample_252,C
sample_253,C
sample_254,C
sample_255,C
sample_256,C
sample_257,C
sample_258,C
sample_259,C
sample_260,C
sample_261,C
sample_262,C
sample_263,C
sample_264,C
sample_265,C
sample_266,C
sample_267,C
sample_268,C
sample_269,C
sample_270,C
sample_271,C
sample_272,C
sample_273,C
sample_274,C
sample_275,C
sample_276,C
sample_277,C
sample_278,C
sample_279,C
sample_280,C
sample_281,C
sample_282,C
sample_283,C
sample_284,C
sample_285,C
sample_286,C
sample_287,C
sample_288,C
sample_289,C
sample_290,C
sample_291,C
sample_292,C
sample_293,C
sample_294,C
sample_295,C
sample_296,C
sample_297,C
sample_298,C
sample_299,C
sample_300,D
sample_301,D
sample_302,D
sample_303,D
sample_304,D
sample_305,D
sample_306,D
sample_307,D
sample_308,D
sample_309,D
sample_310,D
sample_311,D
sample_312,D
sample_313,D
sample_314,D
sample_315,D
sample_316,D
sample_317,D
sample_318,D
sample_319,D
sample_320,D
sample_321,D
sample_322,D
sample_323,D
sample_324,D
sample_325,D
sample_326,D
sample_327,D
sample_328,D
sample_329,D
sample_330,D
sample_331,D
sample_332,D
sample_333,D
sample_334,D
sample_335,D
sample_336,D
sample_337,D
sample_338,D
sample_339,D
sample_340,D
sample_341,D
sample_342,D
sample_343,D
sample_344,D
sample_345,D
sample_346,D
sample_347,D
sample_348,D
sample_349,D
sample_350,D
sample_351,D
sample_352,D
sample_353,D
sample_354,D
sample_355,D
sample_356,D
sample_357,D
sample_358,D
sample_359,D
sample_360,D
sample_361,D
sample_362,D
sample_363,D
sample_364,D
sample_365,D
sample_366,D
sample_367,D
sample_368,D
sample_369,D
sample_370,D
sample_371,D
sample_372,D
sample_373,D
sample_374,D
sample_375,D
sample_376,D
sample_377,D
sample_378,D
sample_379,D
sample_380,D
sample_381,D
sample_382,D
sample_383,D
sample_384,D
sample_385,D
sample_386,D
sample_387,D
sample_388,D
sample_389,D
sample_390,D
sample_391,D
sample_392,D
sample_393,D
sample_394,D
sample_395,D
sample_396,D
sample_397,D
sample_398,D
sample_399,D
